Old-ID,NEW,match?,Old Name,status,comments,OldID lookup,
Old411,New43,Old411,Urmia,,,Old485,
,New430,#N/A,#N/A,,,Old6,
,New431,#N/A,#N/A,,,Old483,
,New432,#N/A,#N/A,,,Old483,
,New433,#N/A,#N/A,,,Old459,
,New434,#N/A,#N/A,,,Old459,
,New435,#N/A,#N/A,,,Old97,
,New436,#N/A,#N/A,,,Old97,
,New437,#N/A,#N/A,,,Old212,
,New438,#N/A,#N/A,,,Old110,
Old392,New439,Old392,Cyprus,,,Old110,
Old467,New439,Old467,Cyprus,,,Old96,
Old225,New44,Old225,Zakho,,,Old96,
Old127,New440,Old127,Egypt,,,Old109,
Old468,New440,Old468,Egypt,,,Old109,
Old421,New441,Old421,Jordan,,,Old98,
Old134,New442,Old134,Syria,,,Old152,
Old427,New442,Old427,Syria,,,Old152,
Old120,New443,Old120,Judean desert,,,Old204,
Old393,New444,Old393,Jazeera,,,Old40,
Old122,New445,Old122,Arzanene,,,Old404,
Old130,New446,Old130,Osrhoene,,,Old484,
Old256,New446,Old256,Osrhoene,,,Old205,
Old352,New447,Old352,Khorasan,,,Old205,
Old350,New448,Old350,Khwarezm,,,Old104,
Old347,New449,Old347,Ferghana Valley,,,Old104,
Old1,New45,Old1,#N/A,,,Old405,
Old146,New45,Old146,Damascus,,,Old206,
Old268,New45,Old268,Damascus,,,Old206,
Old399,New45,Old399,Damascus,,,Old207,
Old439,New45,Old439,Damascus,,,Old207,
Old477,New45,Old477,Damascus,,,Old406,
Old88,New45,Old88,Damascus,,,Old486,
Old320,New450,Old320,Tarim Basin,,,Old336,
Old353,New451,Old353,Tibet,,,Old336,
Old300,New452,Old300,Ladakh,,,Old239,
Old358,New453,Old358,Surkhandarya,,,Old239,
Old356,New454,Old356,Sogdiana,,,Old295,
Old359,New455,Old359,Transoxiana (Mawara’n-nahr),,,Old374,
Old357,New456,Old357,Bactria (Tokharistan),,,Old323,
Old326,New457,Old326,Tien Shan,,,Old323,
,New458,#N/A,#N/A,,,Old208,
Old311,New459,Old311,Ordos,,,Old208,
Old140,New46,Old140,Antioch,,,Old288,
Old2,New46,Old2,Antioch,,,Old288,
Old257,New46,Old257,Antioch,,,Old4,
Old431,New46,Old431,Antioch,,,Old460,
Old453,New46,Old453,Antioch,,,Old12,
Old304,New460,Old304,Kunlun,,,Old12,
,New461,#N/A,#N/A,,,Old153,
Old302,New462,Old302,Hindu Kush,,,Old367,
Old308,New463,Old308,Pamir,,,Old407,
,New464,#N/A,#N/A,,,Old487,
,New465,#N/A,#N/A,,,Old86,
,New466,#N/A,#N/A,,,Old54,
,New467,#N/A,#N/A,,,Old54,
,New468,#N/A,#N/A,,,Old363,
,New469,#N/A,#N/A,,,Old310,
Old3,New47,Old3,Aleppo,,,Old310,
Old391,New47,Old391,Aleppo,,,Old240,
Old429,New47,Old429,Aleppo,,,Old332,
,New470,#N/A,#N/A,,,Old332,
,New471,#N/A,#N/A,,,Old240,
,New472,#N/A,#N/A,,,Old330,
,New473,#N/A,#N/A,,,Old332,
,New474,#N/A,#N/A,,,Old209,
,New475,#N/A,#N/A,,,Old209,
,New476,#N/A,#N/A,,,Old52,
Old132,New477,Old132,Scete,,,Old52,
Old389,New478,Old389,Palestine,,,Old67,
Old422,New479,Old422,Lebanon,,,Old67,
Old288,New48,Old288,Mopsuestia,,,Old154,
Old4,New48,Old4,Mopsuestia,,,Old154,
Old460,New48,Old460,Mor Matay,,,Old261,
Old126,New480,Old126,Cyrrestica,,,Old444,
Old420,New481,Old420,Iraq,,,Old10,
Old131,New482,Old131,Fars,,,Old10,
Old76,New482,Old76,Fars,,,Old155,
Old417,New483,#N/A,Georgia,not in final index,,Old260,
