Old-ID,NEW,Map,Old Name,New Name,Deprecated
Old174,New59,,Van,#REF!,
Old182,New6,,Barṭelle,#REF!,
Old16,New60,,Hulwan,#REF!,
Old80,New60,,Hulwan,#REF!,
Old157,New61,,Seleucia,#REF!,
Old145,New62,,Ctesiphon,#REF!,
Old18,New62,,Seleucia-Ctesiphon,#REF!,
Old267,New62,,Seleucia-Ctesiphon,#REF!,
Old373,New62,,Seleucia-Ctesiphon,#REF!,
Old437,New62,,Ctesiphon,#REF!,
Old19,New63,,Rai,#REF!,
Old75,New63,,Rai,#REF!,
Old21,New64,,Basra,#REF!,
Old22,New65,,Rev Ardashir,#REF!,
Old23,New66,,Raqqa,#REF!,
Old142,New67,,Arzon,#REF!,
Old24,New67,,Arzun,#REF!,
Old25,New68,,Bidlis,#REF!,
Old26,New69,,Qardu,#REF!,
Old183,New7,,Başkale,#REF!,
Old41,New70,,Balad,#REF!,
Old293,New71,,Hdatta,#REF!,
Old343,New71,,Ḥdatta,#REF!,
Old42,New71,,Hdatta,#REF!,
Old290,New72,,Tikrit,#REF!,
Old90,New72,,Tagrit,#REF!,
Old265,New73,,Harran,#REF!,
Old278,New73,,Ḥarrān,#REF!,
Old436,New73,,Carrhae (Harran),#REF!,
Old89,New73,,Harran,#REF!,
Old227,New74,,Baghdad,#REF!,
Old369,New74,,Baghdad,#REF!,
Old396,New74,,Baghdad,#REF!,
Old474,New74,,Baghdad,#REF!,
Old74,New74,,Baghdad,#REF!,
Old68,New75,,Ispahan,#REF!,
Old414,New76,,Hamadan,#REF!,
Old66,New76,,Hamadan,#REF!,
Old67,New77,,Nihawand,#REF!,
Old133,New78,,Susiana,#REF!,
Old158,New78,,Susa,#REF!,
Old229,New78,,Susa,#REF!,
Old69,New78,,Susa,#REF!,
Old150,New79,,Kaškar,#REF!,
Old284,New79,,Kashkar,#REF!,
Old61,New79,,Kashkar,#REF!,
Old184,New8,,Baxʿa,#REF!,
Old58,New80,,Dinawar,#REF!,
Old57,New81,,Shahrzur,#REF!,
Old29,New82,,Shigar,#REF!,
Old106,New83,,Edessa,#REF!,
Old147,New83,,Edessa,#REF!,
Old270,New83,,Edessa,#REF!,
Old277,New83,,Edessa,#REF!,
Old297,New83,,Edessa,#REF!,
Old440,New83,,Edessa,#REF!,
Old455,New83,,Edessa,#REF!,
Old296,New84,,Rome,#REF!,
Old409,New84,,Rome,#REF!,
Old488,New84,,Rome,#REF!,
Old239,New85,,Merv,#REF!,
Old295,New85,,Merv,#REF!,
Old374,New85,,Merv,#REF!,
Old237,New86,,Khotan,#REF!,
Old307,New86,,Khotan,#REF!,
Old231,New87,,"Beijing 北京 (Khanbalik, Dadu 大都)",#REF!,
Old314,New87,,Khanbaliq (Beijing),#REF!,
Old329,New88,,Konye-Urgench,#REF!,
Old238,New89,,Luoyang 洛陽,#REF!,
Old185,New9,,Betanure,#REF!,
Old148,New90,,Jerusalem,#REF!,
Old258,New90,,Jerusalem,#REF!,
Old403,New90,,Jerusalem,#REF!,
Old443,New90,,Jerusalem,#REF!,
Old481,New90,,Jerusalem,#REF!,
Old244,New91,,Qaraqorum,#REF!,
Old262,New92,,Palmyra,#REF!,
Old281,New92,,Palmyra,#REF!,
Old99,New92,,Palmyra,#REF!,
Old346,New93,,Panjikent,#REF!,
Old245,New94,,Quanzhou 泉州,#REF!,
Old298,New94,,Quanzhou (Zayton),#REF!,
Old246,New95,,Samarkand,#REF!,
Old377,New95,,Samarqand,#REF!,
Old489,New95,,Samarkand,#REF!,
Old91,New96,,Samarra,#REF!,
Old167,New97,,Salamas,#REF!,
Old32,New97,,Salmas,#REF!,
Old264,New98,,Samosata,#REF!,
Old447,New99,,Scythopolis,#REF!,
Old129,,,Mesopotamia,#REF!,Deprecated
Old386,,,Central Asia,#REF!,Deprecated
Old387,,,Europe,#REF!,Deprecated
Old390,,,South America,#REF!,Deprecated
Old398,,,Chicago,#REF!,Deprecated
Old416,,,Australia,#REF!,Deprecated
Old418,,,Germany,#REF!,Deprecated
Old423,,,Netherlands,#REF!,Deprecated
Old424,,,Persia,#REF!,Deprecated
Old425,,,Russia,#REF!,Deprecated
Old426,,,Sweden,#REF!,Deprecated
Old464,,,Byzantium,#REF!,Deprecated
Old499,,,France,#REF!,Deprecated
Old108,,,Great Monastery (of Abraham of Kashkar),#REF!,Later
Old114,,,Rabban-Šabuhr,#REF!,Later
