Shelf-mark	Shelf-mark-as-id	Catalog pp# (volume#pages)	Wright’s Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:
Add. 14,496, palimpsest lower 2	Add.14-496-palimpsestlower2	1#223-225	CCLXXXVII	287	Approx. 6c	1432				Will Potter	Drafted	msParts, edit with full ms
Add. 14,496, palimpsest lower 3	Add.14-496-palimpsestlower3	1#223-225	CCLXXXVII	287	Approx. 7c	1433				Will Potter	Drafted	msParts, edit with full ms
Add. 17,206, upper text	Add.17-206-uppertext	2#859-860	DCCCXXXI	831	Approx. 11c-12c	1434				Will Potter	Drafted	msParts, edit with full ms
Add. 17,206, foll. 1-42, lower text	Add.17-206-foll.1-42-lowertext	2#859-860	DCCCXXXI	831	Approx. 9c	1435				Will Potter	Drafted	msParts, edit with full ms
Add. 17,206, foll. 43-87, lower text	Add.17-206-foll.43-87-lowertext	2#859-860	DCCCXXXI	831	Approx. 7c	1436				Will Potter	Drafted	msParts, edit with full ms
Add. 17,212, upper text 2	Add.17-212-uppertext2	2#479-480	DXCVIII	598	Approx. 9c-10c	1437				Will Potter	Drafted	msParts, edit with full ms
Add. 17,212, upper text 1	Add.17-212-uppertext1	2#479-480	DXCVIII	598	Approx. 8c-9c	1438				Will Potter	Drafted	msParts, edit with full ms
Add. 17,212, lower text	Add.17-212-lowertext	2#479-480	DXCVIII	598	Approx. 6c-7c	1439				Will Potter	Drafted	msParts, edit with full ms
Add. 12,145 upper text	Add.12-145uppertext	1#251-254	CCCXIII	313	Approx. 10c	1440				Will Potter	Drafted	msParts, edit with full ms
Add. 12,145 lower text	Add.12-145lowertext	1#251-254	CCCXIII	313		1441				Will Potter	Drafted	msParts, edit with full ms
Add. 14,487 upper text	Add.14-487uppertext	1#152-154	CCXXII	222	824	1442				Will Potter	Drafted	msParts, edit with full ms
Add. 14,487 lower text	Add.14-487lowertext	1#152-154	CCXXII	222		1443				Will Potter	Drafted	msParts, edit with full ms
Add. 14,507 upper text	Add.14-507uppertext	1#283-285	CCCXL	340	Approx. 10c-11c	1444				Will Potter	Drafted	msParts, edit with full ms
Add. 14,507, foll. 139-205 lower text	Add.14-507-foll.139-205lowertext	1#283-285	CCCXL	340	Approx. 7c-8c	1445				Will Potter	Drafted	msParts, edit with full ms
Add. 14,507, foll. 1-108, 113-138, 206-212 lower text	Add.14-507-foll.1-108-113-138-206-212lowertext	1#283-285	CCCXL	340	Approx. 9c-10c	1446				Will Potter	Drafted	msParts, edit with full ms
Add. 14,486 upper text	Add.14-486uppertext	1#149-152	CCXXI	221	824	1447				Will Potter	Drafted	msParts, edit with full ms
Add. 14,486, foll. 1, 3, 8 lower text	Add.14-486-foll.1-3-8lowertext	1#149-152	CCXXI	221	824	1448				Will Potter	Drafted	msParts, edit with full ms
Add. 18,817, foll. 137-154, upper text	Add.18-817-foll.137-154-uppertext	2#803-806	DCCCI	801	Approx. 9c	1449				Will Potter	Drafted	msParts, edit with full ms
