	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 14,669, foll. 23, 24	1#10	XIII		XIII		Add. 12,169, foll. 1-178	2#589-590	DCCIII	#N/A	DCCIII	703	703	Approx. 8c-9c	52				Daniel 	Drafted		
Add. 14,668, foll. 1-3	1#10	XIV	CCCCXIII	XIV		Add. 14,593	2#590-591	DCCIV	#N/A	#N/A	704	704	817	329				Daniel 			
Add. 14,439	1#13	XIX	CLXXV	XIX		Add. 14,668, foll. 37-39	2#605-606	DCCIX	DCCIX	#N/A	709	709	Approx. 9c-10c	491				Tucker	Framework established for a later stage		
Add. 12,135, foll. 1-43	1#24-26	XL	VI	XL		Add. 14,670, foll. 19-22	2#690-691	DCCL	#N/A	DCCL	750	750	Approx. 6c-7c	516				Justin	Drafted		
Add. 14,445, foll. 1-3a	1#26	XLI	DCXV	XLI		Add. 14,663	2#691-692	DCCLI	#N/A	#N/A	751	751	Approx. 6c-7c	431							
Add. 14,445, foll. 3b-48	1#26-7	XLI	DCXVI	XLI		Add. 14,582	2#692-696	DCCLII	#N/A	#N/A	752	752	816	318							
Add. 14,443, foll. 99-144	1#27	XLII	CLXXXV	XLII		Add. 14,612	2#696-701	DCCLIII	#N/A	DCCLIII	753	753	Approx. 6c-7c	350				Peter	Drafted		
Add. 14,666, foll. 38-46	1#27	XLIII	CCCCVI	XLIII		Add. 14,602	2#701-715	DCCLIV	#N/A	#N/A	754	754	Approx. 6c-7c	338							
Add. 14,668, foll. 12-19	1#27	XLIV	CCCCXV	XLIV		(Add. 12,162)	2#721-723	DCCLIX	DCCLIX	DCCLIX	759	759	Approx. 9c	39				Jessie	Drafted and edited	Anna 5/02/20	msParts added (see 1426 and 1427)
Add. 12,134	1#29-31	XLIX	IV	XLIX		Add. 12,162, foll. 1-213, 216a	2#721-723	DCCLIX	DCCLIX	DCCLIX	759	759	Approx. 7c	1426				Will Potter	Drafted	msParts, edit with full ms	cf. 39
Add. 14,666, foll. 37	1#27	XLV	CCCCV	XLV		Add. 12,162, foll. 214, 215, 216a-230b	2#721-723	DCCLIX	DCCLIX	DCCLIX	759	759	Approx. 9c	1427				Will Potter	Drafted	msParts, edit with full ms	cf. 39
Add. 17,213, fol. 3	1#28	XLVI	CXLVIII	XLVI		Add. 14,605	2#715-717	DCCLV	DCCLV	DCCLV	755	755	653	341				James	drafted		
Add. 17,106, foll. 74-87	1#28	XLVII	DXVIII	XLVII		Add. 17,148	2#717-718	DCCLVI	DCCLVI	DCCLVI	756	756	Approx. 7c	777				Julia	Drafted 		
Add. 14,442, foll. 1-46	1#28-29	XLVIII	CLXXIX	XLVIII		Add. 14,546	2#718-719	DCCLVII	DCCLVII	DCCLVII	757	757	Approx. 7c	277				Justin	Drafted		
Add. 14,669, foll. 22	1#10	XV	CCCCXX	XV		Add. 14,557	2#719-721	DCCLVIII	DCCLVIII	DCCLVIII	758	758	Approx. 7c	288				Justin	Drafted		
Add. 14,440	1#10-11	XVI	CLXXVI	XVI		Add. 14,608, foll. 98-124	2#723-724	DCCLX	DCCLX	DCCLX	760	760	Approx. 7c	346				Peter	Drafted		
Add. 17,102	1#11-12	XVII	DXII	XVII		Add. 14,604	2#724-726	DCCLXI	DCCLXI	#N/A	761	761	Approx. 7c	340							
Add. 12,172, foll. 197-234	1#12-13	XVIII	XLIX	XVIII		Add. 17,173	2#726-729	DCCLXII	DCCLXII	DCCLXII	762	762	Approx. 7c	825				Jessie	Drafted and edited	Anna 5/2/20	
Add. 14,666, fol. 3	1#13	XX	CCCCIV	XX		Add. 18,813	2#729-731	DCCLXIII	DCCLXIII	#N/A	763	763	Approx. 7c	1119							
Add. 14,438, foll. 53-101	1#13-14	XXI	CLXXIV	XXI		Add. 14,598	2#731-732	DCCLXIV	DCCLXIV	DCCLXIV	764	764	Approx. 7c, 9c	334				James	Drafted		
Add. 14,438, foll. 50-52	1#14	XXI	DCIX	XXI		Add. 14,531	2#738-740	DCCLXIX	DCCLXIX	DCCLXIX	769	769	Approx. 7c-8c	258				Kayla	Drafted		
Add. 14,431	1#14-15	XXII	CLXIV	XXII		Add. 14,666, foll. 57-64	2#732-733	DCCLXV	DCCLXV	#N/A	765	765	Approx. 7c-8c	461				Daniel	Framework established for a later stage		
Add. 14,442, foll. 47-65	1#15	XXIII	CLXXX	XXIII		Add. 14,608, foll. 1-97	2#733-734	DCCLXVI	DCCLXVI	DCCLXVI	766	766	Approx. 7c-8c	345				Peter	Drafted		
Add. 14,430	1#15-16	XXIV	CLXIII	XXIV		Add. 18,814, foll. 1-102	2#734-736	DCCLXVII	DCCLXVII	DCCLXVII	767	767	Approx. 7c-8c	1121				Peter	Drafted		
Add. 17,108	1#18	XXIX	DXX	XXIX		Add. 14,618	2#736-738	DCCLXVIII	DCCLXVIII	#N/A	768	768	Approx. 7c-8c	358							
Add. 17,104	1#16-17	XXV	DXIV	XXV		Add. 14,617	2#740-742	DCCLXX	DCCLXX	#N/A	770	770	Approx. 7c-8c	357							
Add. 14,443, foll. 1-34	1#17	XXVI	CLXXXII	XXVI		Add. 14,536	2#742-744	DCCLXXI	DCCLXXI	#N/A	771	771	Approx. 8c	263							
Add. 14,666, fol. 2	1#17	XXVII	CCCCIII	XXVII		(Add. 14,606)	2#744-745	DCCLXXII	DCCLXXII	DCCLXXII	772	772	Approx. 8c	342				James	drafted		
Add. 14,666, fol. 1	1#17	XXVIII	CCCCII	XXVIII		Add. 14,606, foll. 1-6	2#744-745	DCCLXXII	DCCLXXII	DCCLXXII	772	772		1397				James	drafted		
Add. 14,443, foll. 35-71	1#18	XXX	CLXXXIII	XXX		Add. 14,606, foll. 7-58, 60-136, 141-146	2#744-745	DCCLXXII	DCCLXXII	DCCLXXII	772	772		1398				James	drafted		
Add. 14,443, foll. 72-98	1#18	XXXI	CLXXXIV	XXXI		Add. 14,606, fol. 59	2#744-745	DCCLXXII	DCCLXXII	DCCLXXII	772	772		1399				James	drafted		
Add. 18,715	1#18-20	XXXII	DLXIII	XXXII		Add. 14,606, foll. 137-140	2#744-745	DCCLXXII	DCCLXXII	DCCLXXII	772	772		1400				James	drafted		
Add. 14,668, foll. 20-25	1#20-21	XXXIII	CCCCXVI	XXXIII		Add. 14,614, foll. 80-127	2#745-746	DCCLXXIII	#N/A	DCCLXXIII	773	773	Approx. 8c	354				Peter	Drafted		
(Add. 14,432)	1#21	XXXIV	CLXV	XXXIV		Add. 12,170, foll. 136-276	2#746-752	DCCLXXIV	#N/A	DCCLXXIV	774	774	Approx. 8c-9c (early)	56				Kayla	Drafted		
Add. 14,432, foll. 1-122	1#21	XXXIV	DXCIX	XXXIV		Add. 14,621	2#756-759	DCCLXXIX	DCCLXXIX	#N/A	779	779	802	361							
Add. 14,432, fol. 121	1#21	XXXIV	DC	XXXIV		Add. 12,170, foll. 277-279	2#752	DCCLXXV	#N/A	DCCLXXV	775	775	Approx. 8c-9c (early)	57				Julia	Drafted		
Add. 12,136	1#24	XXXIX	VII	XXXIX		Add. 17,213, foll. 8-10	2#752	DCCLXXVI	#N/A	#N/A	776	776	Approx. 8c-9c	879				Tucker	Framework established for a later stage		
Add. 14,669, fol. 25	1#22	XXXV	CCCCXXI	XXXV		Add. 14,590	2#752-754	DCCLXXVII	#N/A	#N/A	777	777	Approx. 8c-9c	326				James			
(Add. 17,105)	1#22-23	XXXVI	DXV	XXXVI		Add. 14,629, foll. 1-24	2#754-756	DCCLXXVIII	#N/A	#N/A	778	778	Approx. 8c-9c	372							
Add. 17,106, foll. 1-73	1#23	XXXVII	DXVII	XXXVII		Add. 17,172	2#759-762	DCCLXXX	DCCLXXX	DCCLXXX	780	780	819-830	824				Jessie	Drafted and edited	Lindsay 5/19/2020	
Add. 17,107	1#23-24	XXXVIII	DXIX	XXXVIII		Add. 14,623	2#762-766	DCCLXXXI	DCCLXXXI	#N/A	781	781	823	363							
(Add. 12,133)			I	#N/A		Add. 12,171, foll. 65-68	2#766-767	DCCLXXXII	DCCLXXXII	#N/A	782	782	833	60							
(Add. 12,135)			V	#N/A		Add. 14,580	2#767-769	DCCLXXXIII	DCCLXXXIII	#N/A	783	783	866	316							
(Add. 12,142)			XIII	#N/A		Add. 14,668, foll. 40-43	2#769	DCCLXXXIV	DCCLXXXIV	#N/A	784	784	866	492				Tucker	Framework established for a later stage		
(Add. 12,160)			XXV	#N/A		Add. 17,192	2#778-781	DCCLXXXIX	DCCLXXXIX	DCCLXXXIX	789	789	Approx. 9c	848				Jessie	Drafted and edited	Anna 5/2/20	
(Add. 12,163)			XXX	#N/A		Add. 12,167	2#769-774	DCCLXXXV	DCCLXXXV	DCCLXXXV	785	785	876	49				Jessie	Drafted and edited	Lindsay, 03/19/2020	
(Add. 12,166)			XXXVI	#N/A		Add. 18,821	2#775-776	DCCLXXXVI	#N/A	DCCLXXXVI	786	786	Approx. 9c	1134				Jessie	Drafted and edited	Lindsay 05/30/20	Whole parts of this manuscript are missing from the word document - parts f and g, and some footnotes from the second part's Syriac. Also the second addition needs checked, where this marginal note is found.
(Add. 12,169)			XL	#N/A		Add. 17,196	2#776-777	DCCLXXXVII	#N/A	DCCLXXXVII	787	787	Approx. 6c	852				Jessie	Drafted	Will	palimpsest, needs msParts
(Add. 12,170)			XLII	#N/A		Add. 17,168, foll. 114-153	2#777-778	DCCLXXXVIII	#N/A	#N/A	788	788	Approx. 9c	817							
(Add. 12,172)			XLVI	#N/A		Add. 14,736, foll. 1, 2	2#591	DCCV	#N/A	DCCV	705	705	Approx. 13c-14c	653				Will Potter	Drafted		
(Add. 12,175)			LI	#N/A		Add. 14,483	2#591	DCCVI	#N/A	DCCVI	706	706	Approx. 9c	168				Daniel 	Drafted and edited		
(Add. 14,434)			CLXVI	#N/A		Add. 12,172, foll. 65-135	2#592-605	DCCVII	#N/A	#N/A	707	707	Approx. 9c	66				Tucker	Framework established for a later stage		
(Add. 14,437)			CLXIX	#N/A		Add. 17,187	2#605	DCCVIII	DCCVIII	DCCVIII	708	708	Approx. 10c	841				Daniel	Drafted		
(Add. 14,438)			CLXXII	#N/A		Add. 14,679	2#606	DCCX	DCCX	DCCX	710	710	1102	535				Daniel	Drafted		
(Add. 14,442)			CLXXVIII	#N/A		Add. 17,213, foll. 21-39	2#781	DCCXC	DCCXC	DCCXC	790	790	Approx. 9c	888				Seonghyun	Drafted		
(Add. 14,443)			CLXXXI	#N/A		Add. 14,624	2#781-782	DCCXCI	DCCXCI	#N/A	791	791	Approx. 9c	364							
(Add. 14,444)			CLXXXVI	#N/A		Add. 17,168, fol. 1-113	2#782-784	DCCXCII	DCCXCII	#N/A	792	792	Approx. 9c	816							
(Add. 14,445)			CXC	#N/A		Add. 14,577	2#784-788	DCCXCIII	DCCXCIII	#N/A	793	793	Approx. 9c	313							
(Add. 14,459)			CCI	#N/A		Add. 14,668, fol. 44	2#788	DCCXCIV	DCCXCIV	#N/A	794	794	Approx. 9c	493				Tucker	Framework established for a later stage		
(Add. 14,461)			CCV	#N/A		Add. 17,168, foll. 154-184	2#800	DCCXCIX	DCCXCIX	#N/A	799	799	Approx. 9c	818							
(Add. 14,466)			CCXII	#N/A		Add. 14,601	2#789-793	DCCXCV	DCCXCV	#N/A	795	795	Approx. 9c	337							
(Add. 14,468)			CCXVIII	#N/A		Add. 17,217, fol. 43	2#793	DCCXCVI	DCCXCVI	DCCXCVI	796	796	Approx. 9c	938				Daniel	Drafted		
(Add. 14,473)			CCXXIV	#N/A		Add. 18,814, foll. 103-262	2#793-796	DCCXCVII	DCCXCVII	DCCXCVII	797	797	Approx. 9c	1122				Peter	Drafted		
(Add. 14,484)			CCXXXVII	#N/A		Add. 14,535	2#796-799	DCCXCVIII	DCCXCVIII	#N/A	798	798	Approx. 9c	262							
(Add 14,490)			CCXLVI	#N/A		Add. 17,197, foll. 26-46	2#606-608	DCCXI	DCCXI	DCCXI	711	711	Approx. 9c-10c	855				Daniel	Drafted		
(Add. 14,506)			CCLX	#N/A		Add. 12,172, foll. 55-64	2#608	DCCXII	DCCXII	#N/A	712	712	Approx. 9c	65				Tucker, Sung Uk Lim	In Progress	Justin, 9/22/2014	
(Add. 14,512)	1#250-251		cclxviii	#N/A		Add. 14,682	2#608-610	DCCXIII	DCCXIII	DCCXIII	713	713	Approx. 10c	538				Daniel 	Drafted		
(Add. 14,522)			cclxxiii	#N/A		Add. 14,683, foll. 1-102	2#610-611	DCCXIV	DCCXIV	DCCXIV	714	714	Approx. 10c	1195				Daniel 	Drafted and edited	Justin, 9/24/2014	
(Add. 14,523)			cclxxix	#N/A		Add. 14,683, foll. 103-141	2#611-612	DCCXIV	DCCXIV	DCCXIV	714	714	Approx. 10c	1196				Daniel 	Drafted and edited	Justin, 9/24/2014	
(Add. 14,541)			CCXCVII	#N/A		Add. 14,594	2#618-620	DCCXIX	#N/A	DCCXIX	719	719	Approx. 9c-10c	330				James	Drafted		
(Add. 14,555)			CCCXV	#N/A		Add. 14,591	2#669-673	DCCXL	DCCXL	#N/A	740	740	Approx. 6c	327							
(Add. 14,566)			CCCXXVI	#N/A		Add. 12,169, foll. 179-218	2#673-674	DCCXLI	DCCXLI	#N/A	741	741	Approx. 6c	53				Daniel 	Framework established for a later stage		
(Add. 14,574)			cccxxxvi	#N/A		Add. 12,166, foll. 1-154	2#674-676	DCCXLII	DCCXLII	DCCXLII	742	742	Approx. 6c	47				Justin	Drafted		
(Add. 14,608)			ccclviii	#N/A		Add. 17,167	2#676-678	DCCXLIII	DCCXLIII	#N/A	743	743	Approx. 6c-7c	814				Jessie	In Progress		
(Add. 14,614)			ccclxii	#N/A		Add. 14,616	2#678-680	DCCXLIV	DCCXLIV	#N/A	744	744	Approx. 6c-7c	356							
(Add. 14,630)			CCCLXIX	#N/A		Add. 17,201, foll. 1-15	2#690	DCCXLIX	#N/A	DCCXLIX	749	749	Approx. 6c-7c	860				Peter	Drafted and edited	Will P., 03/03/2020	
(Add. 14,634)			CCCLXXV	#N/A		Add. 17,164	2#680-681	DCCXLV	DCCXLV	#N/A	745	745	Approx. 6c-7c	811				Jessie	In Progress		
(Add. 14,635)			CCCLXXX	#N/A		Add. 17,158, foll. 1-48	2#681-683	DCCXLVI	DCCXLVI	#N/A	746	746	Approx. 6c-7c	791							
(Add. 14,646)			CCCXC	#N/A		Add. 14,607	2#683-684	DCCXLVII	DCCXLVII	DCCXLVII	747	747	Approx. 6c-7c	343				Jessie	Drafted and edited	Lindsay, 04/02/2020	
(Add. 14,664)			CCCXCVI	#N/A		Add. 14,592	2#684-690	DCCXLVIII	DCCXLVIII	#N/A	748	748	Approx. 6c-7c	328							
(Add. 14,666)			CCCCI	#N/A		Add. 17,199	2#612-613	DCCXV	#N/A	DCCXV	715	715	Approx. 8c	857				Daniel	Drafted		
(Add. 14,668)			CCCCXII	#N/A		Add. 17,217, foll. 1-19	2#613	DCCXVI	#N/A	DCCXVI	716	716	Approx. 9c-10c	930				Daniel	Drafted		
(Add. 14,669)			CCCCXIX	#N/A		Add. 17,208	2#613-617	DCCXVII	#N/A	#N/A	717	717	Approx. 9c	870							
(Add. 14,670)			CCCCXXIX	#N/A		Add. 14,726, foll. 87-128	2#617-618	DCCXVIII	#N/A	#N/A	718	718	Approx. 10c	621							
(Add. 14,674)			CCCCXLVI	#N/A		Add. 17,274	2#620	DCCXX	#N/A	DCCXX	720	720	Approx. 11c-12c	1109				Anna	Drafted	Jessie	
(Add. 14,676)			CCCCL	#N/A		Add. 17,188	2#620-622	DCCXXI	#N/A	DCCXXI	721	721	Approx. 10c-11c	842				Jessie	Drafted and edited	Lindsay 5/19/2020	Needs placement of Greek word within the Syriac checked on c3/N5/Chapter 3
(Add. 14,683)			CCCCLIX	#N/A		Add. 12,143	2#623	DCCXXII	DCCXXII	DCCXXII	722	722	1229	18				James	Drafted and edited	Justin, 4/6/2015	
(Add. 14,691)			CCCCLXVI	#N/A		Add. 21,580	2#624-626	DCCXXIII	DCCXXIII	DCCXXIII	723	723	1478	1139				Jessie	Drafted	Lindsay	
(Add. 14,736)			cccclxxxvi	#N/A		Add. 23,596	2#626-628	DCCXXIV	#N/A	DCCXXIV	724	724	1720	1141				Jessie	Drafted	Lindsay	
(Add. 14,738)			DVIII	#N/A		Add. 12,156	2#639-648	DCCXXIX	#N/A	#N/A	729	729	Approx. 6c (<562)	31							Catenae
(Add. 17,106)			DXVI	#N/A		Add. 18,296	2#628-630	DCCXXV	#N/A	#N/A	725	725	1714	1114							
(Add. 17,160)			XC	#N/A		Add. 12,150	2#631-633	DCCXXVI	#N/A	DCCXXVI	726	726	412	25				Justin	Drafted		
(Add. 17,163)			XCVIII	#N/A		Add. 12,175, foll. 81-254	2#633-638	DCCXXVII	#N/A	DCCXXVII	727	727	534	74				Julia	Drafted	Justin 3/10/2015	
(Add. 17,171)			CIV	#N/A		Add. 14,610	2#638-639	DCCXXVIII	DCCXXVIII	#N/A	728	728	Approx. 6c (551)	348							
(Add. 17,182)			CXVI	#N/A		Add. 14,597	2#648-651	DCCXXX	#N/A	DCCXXX	730	730	569	333				James	Drafted		
(Add. 17,189)			CXXIV	#N/A		Add. 14,652	2#651-652	DCCXXXI	DCCXXXI	#N/A	731	731	Approx. 6c	420							
(Add. 17,197)			CXXX	#N/A		Add. 17,144	2#652-654	DCCXXXII	DCCXXXII	DCCXXXII	732	732	Approx. 6c	773				Kayla	Drafted		
(Add. 17,201)			CXXXIV	#N/A		(Add. 17,165)		DCCXXXIII	DCCXXXIII	DCCXXXIII	733	733		812				Julia	Drafted	Justin 3/11/2015	
(Add. 17,213)			CXLVI	#N/A		Add. 17,165, foll. 1-8	2#654-655	DCCXXXIII	DCCXXXIII	DCCXXXIII	733	733	Approx. 11c-12c	1215				Julia	Drafted	Justin 3/11/2015	
(Add. 17,215)			BIBLICAL MANUSCRIPTS	#N/A		Add. 17,165, foll. 9-114	2#654-655	DCCXXXIII	DCCXXXIII	DCCXXXIII	733	733	Approx. 6c	1216				Julia	Drafted	Justin 3/11/2015	
(Add. 17,216)			DXXXVII	#N/A		Add. 14,581	2#655-657	DCCXXXIV	DCCXXXIV	#N/A	734	734	Approx. 6c	317							
(Add. 17,217)			DLV	#N/A		Add. 17,149	2#668-669	DCCXXXIX	DCCXXXIX	DCCXXXIX	739	739	Approx. 6c	778				Julia	Drafted and edited	Justin, 10/2/2014	
(Add. 17,224)			DCCCLXXVI	#N/A		Add. 17,171, foll. 1-16	2#657	DCCXXXV	#N/A	DCCXXXV	735	735	Approx. 6c	822				Julia	Drafted	Justin, 10/9/2014	
(Add. 17,228)			DCCCLXXXVII	#N/A		Add. 12,175, foll. 49-80	2#657-658	DCCXXXVI	#N/A	DCCXXXVI	736	736	Approx. 6c	73				Julia	Drafted	Justin 1/20/2015	
(Add. 17,261)			DXXIX	#N/A		Add. 17,166	2#658-660	DCCXXXVII	#N/A	DCCXXXVII	737	737	Approx. 6c	813				Peter	Drafted		
(Add. 17,267)			DXXXVI	#N/A		Add. 17,181	2#661-668	DCCXXXVIII	#N/A	#N/A	738	738	Approx. 6c	833							
(Add. 17,269)			DXLIV	#N/A		Add. 14,669, fol. 19	2#481	DCI	DCI	#N/A	601	601	Approx. 10c	498				Tucker	Framework established for a later stage		
(Add. 17,272)			DLI	#N/A		Add. 17,267, foll. 1-8	2#481	DCII	DCII	DCII	602	602	Approx. 13c	1086				Justin	Drafted		
(Add. 18,814)			DLXV	#N/A		Add. 14,630, foll. 29-41	2#481	DCIII	DCIII	DCIII	603	603	Approx. 9c	377				Peter	Drafted		
(Add. 18,817)			DLXIX	#N/A		Add. 17,160, foll. 19-23	2#481-482	DCIV	DCIV	DCIV	604	604	Approx. 6c-7c	799				Justin	Drafted		
Add. 12,137 foll. 2-177			DLXXXVII	#N/A		Add. 14,555, foll. 1-43a	2#483-484	DCIX	DCIX	DCIX	609	609	Approx. 6c-7c	1227				Justin	Drafted		
Add. 12,137 foll. 178-179, 186			DLXXXVIII	#N/A		Add. 14,555, foll. 43b-44	2#484	DCIX	DCIX	DCIX	609	609	Approx. 9c	1228				Justin	Drafted		
Add. 12,137 foll. 187-207			DLXXXIX	#N/A		Add. 17,160, foll. 1-18	2#512-513	DCL	DCL	DCL	650	650	Approx. 7c	798				Julia 	Drafted		
Add. 12,137 foll. 212, 213			DXC	#N/A		Add. 17,158, foll. 49-56	2#513	DCLI	DCLI	#N/A	651	651	Approx. 8c	792							
Add. 12,137 foll. 19, 180-185, 208-211			DXCI	#N/A		Add. 17,171, foll. 17-23	2#513	DCLII	DCLII	DCLII	652	652	Approx. 8c	823				Erin	Drafted	Justin 3/18/2015	
Add. 12141 foll. 1-87			DXCII	#N/A		Add. 14,634, foll. 50, 51	2#513	DCLIII	DCLIII	DCLIII	653	653	Approx. 8c-9c	387				Justin	Drafted		
Add. 12141 foll. 88, 94			DXCIII	#N/A		Add. 17,162, foll. 15-27	2#513-514	DCLIV	DCLIV	#N/A	654	654	Approx. 9c	807							
Add. 12141 foll. 95-144, 146-148			DXCIV	#N/A		Add. 17,213, fol. 13	2#515	DCLIX	DCLIX	#N/A	659	659	Approx. 10c	881				Tucker	Framework established for a later stage		
Add. 12141 foll. 89-93, 145			DXCV	#N/A		Add. 17,218, foll. 59-69	2#514	DCLV	DCLV	#N/A	655	655	Approx. 9c	971				Tucker	Framework established for a later stage		
Add. 12141 foll. 149			DXCVI	#N/A		Add. 14,634, foll. 3-49	2#514-515	DCLVI	DCLVI	DCLVI	656	656	Approx. 9c	386				Training Group	Drafted and edited	Justin 9/22/2014	
Add. 17,105, foll. 1-129			DCII	#N/A		Add. 17,213, foll. 11,12	2#515	DCLVII	DCLVII	#N/A	657	657	Approx. 9c-10c	880				Tucker	Framework established for a later stage		
Add. 17,105, foll. 130			DCIII	#N/A		Add. 14,634, foll. 1, 2	2#515	DCLVIII	DCLVIII	DCLVIII	658	658	Approx. 9c-10c	385				Justin	Drafted		
Add. 14,480, foll, 1-128			DCV	#N/A		Add. 17,213, foll. 16, 17	2#515	DCLX	DCLX	#N/A	660	660	Approx. 10c	884				Tucker	Framework established for a later stage		
Add. 14,480, foll. 62, 121			DCVI	#N/A		Add. 17,213, fol. 14	2#515-516	DCLXI	DCLXI	#N/A	661	661	Approx. 11c	882				Tucker	Framework established for a later stage		
Add. 14,512, palimp. 1	1#250-251			#N/A		Add. 17,213, fol. 15	2#516	DCLXII	DCLXII	#N/A	662	662	Approx. 11c	883				Tucker	Framework established for a later stage		
Add. 14,512, palimp. 2	1#250-251			#N/A		Add. 14,739, foll. 12-14	2#516	DCLXIII	DCLXIII	#N/A	663	663	Approx. 12c	723							
Add. 14,512, palimp. 3	1#250-251			#N/A		Add. 17,213, fol. 18	2#516	DCLXIV	DCLXIV	#N/A	664	664	Approx. 10c	885				Seonghyun	Framework established for a later stage		
			DCLXXXIII			Add. 14,736, foll. 10, 11	2#517	DCLXIX	DCLXIX	DCLXIX	669	669	Approx. 12c-13c	656				Will Potter	Drafted		
			DCLXXXIV			Add. 14,738, foll. 117, 118	2#516	DCLXV	DCLXV	#N/A	665	665	Approx. 11c	717				Daniel	Framework established for a later stage		
						Add. 14,739, foll. 7-11	2#516-517	DCLXVI	DCLXVI	#N/A	666	666	Approx. 11c-12c	722							
			DCLXXXVI			Add. 17,242, foll. 105-127	2#517	DCLXVII	DCLXVII	#N/A	667	667	Approx. 12c	1031							
						Add. 14,732, fol. 228	2#517	DCLXVIII	DCLXVIII	#N/A	668	668	Approx. 12c-13c	641							
						Add. 14,737, fol. 92	2#517	DCLXX	DCLXX	#N/A	670	670	Approx. 13c-14c	689							
						Add. 17,272, foll. 30-63	2#517	DCLXXI	DCLXXI	DCLXXI	671	671	1565	1102				Peter	Drafted		
						Add. 14,587	2#517-524	DCLXXII	DCLXXII	DCLXXII	672	672	603	323				James	Drafted		
						Add. 17,163, foll. 1-48	2#524-526	DCLXXIII	DCLXXIII	DCLXXIII	673	673	Approx. 7c	809				Peter	Drafted		
						Add. 17,126	2#526	DCLXXIV	DCLXXIV	DCLXXIV	674	674	511	755				Susannah	Drafted and edited	Justin, 10/1/2014	
						Add. 17,153	2#531	DCLXXIX	DCLXXIX	DCLXXIX	679	679	Approx. 6c	782				Julia	Drafted and edited	Justin, 10/7/2014	
						Add. 14,534	2#526-527	DCLXXV	DCLXXV	DCLXXV	675	675	Approx. 6c	261				Anna	Drafted and edited	Lindsay, 04/02/2020	
						Add. 12,164	2#527-529	DCLXXVI	DCLXXVI	DCLXXVI	676	676	Approx. 6c	44				Jessie	Drafted and edited	Anna 3/20/20	contains excerpts by multiple authors collected by Philoxenus
						Add. 12,163, foll. 1-126	2#529-530	DCLXXVII	DCLXXVII	DCLXXVII	677	677	Approx. 6c	41				Justin	Drafted		
						Add. 14,595	2#530-531	DCLXXVIII	DCLXXVIII	DCLXXVIII	678	678	Approx. 6c-7c	331				James	Drafted		
						Add. 14,596	2#531-532	DCLXXX	DCLXXX	DCLXXX	680	680	Approx. 6c-7c	332				James	Drafted		
						Add. 14,625	2#532	DCLXXXI	DCLXXXI	DCLXXXI	681	681	Approx. 10c	365				Kim	Drafted		
						Add. 14,628, foll. 9-20	2#532-533	DCLXXXII	DCLXXXII	#N/A	682	682	Approx. 6c-7c	370							
						Add. 14,649, foll. 180-205	2#533	DCLXXXIII	DCLXXXIII	#N/A	683	683	Approx. 9c	417							
						Add. 17,216, foll. 32, 33	2#533-534	DCLXXXIV	DCLXXXIV	DCLXXXIV	684	684	Approx. 13c	917				Peter	Drafted		
						Add. 17,200	2#554-555	DCLXXXIX	#N/A	#N/A	689	689	Approx. 7c	858							
						Add. 12,159	2#534-546	DCLXXXV	#N/A	DCLXXXV	685	685	868	34				Kayla	Drafted		
						Add. 14,599	2#546-548	DCLXXXVI	DCLXXXVI	DCLXXXVI	686	686	569	335				James	Drafted		
						Add. 17,210-211	2#548-550	DCLXXXVII	#N/A	#N/A	687	687	Approx. 5c	872							
						Add. 12,157	2#550-554	DCLXXXVIII	#N/A	#N/A	688	688	Approx. 7c-8c	32							Catenae
			DCCVIII			Add. 17,270	2#482	DCV	DCV	DCV	605	605	Approx. 9c	1098				Peter	Drafted		
			DCCIX			Add. 17,217, foll. 20-32	2#482	DCVI	DCVI	DCVI	606	606	Approx. 9c	931				Daniel	Drafted		
			DCCX			Add. 14,668, foll. 32-36	2#482	DCVII	DCVII	#N/A	607	607	Approx. 6c	490				Tucker	Framework established for a later stage		
			DCCXI			Add. 14,669, foll. 1-18	2#483	DCVIII	DCVIII	#N/A	608	608	Approx. 5c-6c	497				Tucker	Framework established for a later stage		
			DCCXII			Add. 17,217, fol. 41	2#484-485	DCX	DCX	DCX	610	610	Approx. 6c-7c	936				Daniel	Drafted		
			DCCXIII			Add. 12,158	2#555-557	DCXC	#N/A	#N/A	690	690	Approx. 6c (588)	33							Catenae
			DCCXIV			Add. 17,154	2#557-558	DCXCI	#N/A	DCXCI	691	691	Approx. 7c	783				Kayla	Drafted and edited	Justin, 10/7/2014	
						Add. 12,181	2#558-564	DCXCII	#N/A	DCXCII	692	692	Approx. 8c	80				Jessie	Drafted and edited	Anna 3/20/20	
						Add. 14,600	2#565-569	DCXCIII	#N/A	DCXCIII	693	693	Approx. 8c	336				Daniel	Drafted		
						Add. 14,633	2#569-576	DCXCIV	#N/A	DCXCIV	694	694	Approx. 10c	383				Daniel 	Drafted		
						Add. 14,541, foll. 39-49	2#585-586	DCXCIX	#N/A	DCXCIX	699	699	Approx. 8c-9c	270				Peter	Drafted		
