	Catalog pp# (volume#pages)	Wright’s Numeration DECODER	Wright’s Numeration XML	Lookup Decoder in XML	REDO		Catalog pp# (volume#pages)	Wright’s Numeration	Lookup Decoder in XML take 2	Lookup Decoder in Decoder	Arabic Numeration	Corrected Arabic Numeration	Wright’s Dating	"URI
[Next ID 1450]"				Who is primary?	State of coding	Edited by whom and when:	Editing questions and comments
Add. 17,243, foll. 1-5, 7-174	1#290-291	CCCXLV	DCLV	cccxlv		Add. 14,714	1#346-347	CCCCXXX	CCCCXXX	CCCCXXX	#N/A	430	1075	586				Anna	Drafted and edited	Jessie, 05/22/2020	
Add. 17,243, foll. 6 (fly-leaf)	1#290-291	CCCXLV	DCLVI	cccxlv		Add. 17,273	1#347-349	CCCCXXXI	CCCCXXXI	#N/A	#N/A	431	Approx. 9c	1108							
Add. 14,712	1#291-292	CCCXLVI	cccclxxx	cccxlVi		Add. 14,524, foll. 12-21	1#349	CCCCXXXII	#N/A	#N/A	#N/A	432	Approx. 11c	238				Tucker	Framework established for a later stage		
Add. 14,513	1#292	CCCXLVII	cclxix	cccxlvii		Add. 14,524, foll. 22-29	1#349	CCCCXXXIII	CCCCXXXIII	#N/A	#N/A	433	Approx. 11c	239				Tucker	Framework established for a later stage		
Add. 14,523, foll. 36, 37	1#292-293	CCCXLVIII	CCLXXXV	cccxlviii		Add. 14,523, foll. 47, 48	1#349	CCCCXXXIV	CCCCXXXIV	CCCCXXXIV	#N/A	434	Approx. 11c	231				Peter	Drafted		
Add. 12,147	1#261-264	CCCXX	XVII	CCCXX		Add. 17,238	1#353-354	CCCCXXXIX	CCCCXXXIX	CCCCXXXIX	#N/A	439	Approx. 13c	1023				Jessie	Drafted and edited	Lindsay 5/29/2020	Question on how to format the part of the title where there are syriac letters above one another
Add. 12,148	1#264-266	CCCXXI	XVIII	CCCXXI		Add. 14,524, foll. 48-67	1#350	CCCCXXXV	CCCCXXXV	#N/A	#N/A	435	Approx. 11c-12c	241				Tucker	Framework established for a later stage		
Add. 12,149	1#266-269	CCCXXII	XIX	CCCXXII		Add. 17,247	1#350-351	CCCCXXXVI	CCCCXXXVI	CCCCXXXVI	#N/A	436	Approx. 12c	1039				Jessie	Drafted and edited	Lindsay 5/29/2020	
Add. 14,501	1#270-271	CCCXXIV	CCLVI	cccxxiv		Add. 14,713	1#351-352	CCCCXXXVII	CCCCXXXVII	#N/A	#N/A	437	Approx. 12c-13c	585							
Add. 14,509	1#271-272	CCCXXV	CCLXVI	CCCXXV		Add. 17,253, foll. 1-69	1#352-353	CCCCXXXVIII	CCCCXXXVIII	#N/A	#N/A	438	1222	1046							
Add. 17,216, foll. 15-25	1#272	CCCXXVI	DXL	CCCXXVI		Add. 17,230, foll. 1-19	1#234	CCCI	CCCI	#N/A	301	301	Approx. 14c	1012							
Add. 14,519	1#272-274	CCCXXVII	CCLXXI	cccxxvII		Add. 17,230, foll. 20-46	1#234-235	CCCII	CCCII	#N/A	302	302	1337	1013							
Add. 17,235	1#276-277	CCCXXXIII	DCCCXCIII	cccxxxiii		Add. 17,160, foll. 29, 30	1#235-236	CCCIII	CCCIII	CCCIII	303	303	789	803				Justin	Drafted		
