Add. 14,526, foll. 40-47	2#1036	DCCCCVIII	908	Approx. 8c	251
Add. 14,527	2#1036-1037	DCCCCIX	909	Approx. 11c	252
(Add. 14,428)					253
Add. 14,528, foll. 1-151	2#1030-1033	DCCCCVI	906	Approx. 6c (early) (501?)	254
Add. 14,528, foll. 152-228	1#176-177	CCXXXIX	239	Approx. 6c	255
Add. 14,529	2#917-921	DCCCLVI	856	Approx. 7c-8c	256
Add. 14,530	2#1027-1030	DCCCCV	905	535	257
Add. 14,531	2#738-740	DCCLXIX	769	Approx. 7c-8c	258
Add. 14,532	2#955-967	DCCCLVIII	858	Approx. 8c	259
Add. 14,533	2#967-976	DCCCLIX	859	Approx. 8c-9c	260
Add. 14,534	2#526-527	DCLXXV	675	Approx. 6c	261
Add. 14,535	2#796-799	DCCXCVIII	798	Approx. 9c	262
Add. 14,536	2#742-744	DCCLXXI	771	Approx. 8c	263
Add. 14,537	2#1017-1018	DCCCLXVIII	868	Approx. 7c-8c	264
Add. 14,538	2#1003-1008	DCCCLXIII	863	Approx. 10c	265
Add. 14,539	2#499	DCXXVII	627	Approx. 9c	266
Add. 14,540	2#499-500	DCXXVIII	628	Approx. 9c	267
(Add. 14,541)					268
Add. 14,541, foll. 1-10	2#501-502	DCXXX	630	Approx. 9c	269
Add. 14,541, foll. 39-49	2#585-586	DCXCIX	699	Approx. 8c-9c	270
Add. 14,541, foll. 50, 51	2#450	DLXIX	569	Approx. 6c-7c	271
Add. 14,541, fol. 52	3#1040	DCCCCXII	912	Approx. 9c	272
Add. 14,542	2#416-418	DXLVII	547	509	273
(Add. 14,543)	2#419-420	DL	550	Approx. 6c	274
Add. 14,544	2#421-422	DLII	552	Approx. 5c-6c	275
Add. 14,545	2#422	DLIII	553	Approx. 6c	276
Add. 14,546	2#718-719	DCCLVII	757	Approx. 7c	277
Add. 14,547	2#431-434	DLVII	557	Approx. 9c	278
Add. 14,548	2#434-436	DLVIII	558	790	279
Add. 14,549	2#428-431	DLVI	556	Approx. 8c-9c	280
Add. 14,550	2#443-444	DLXIV	564	Approx. 6c	281
Add. 14,551	2#485	DCXI	611	Approx. 8c	282
Add. 14,552	2#485-486	DCXII	612	Approx. 7c-8c	283
Add. 14,553	2#489-490	DCXVIII	618	Approx. 6c-7c	284
Add. 14,554	2#492	DCXXI	621	Approx. 9c	285
(Add. 14,555)					286
Add. 14,556	2#487-488	DCXIV	614	Approx. 6c-7c	287
Add. 14,557	2#719-721	DCCLVIII	758	Approx. 7c	288
Add. 14,558	2#466-467	DLXXXIII	583	557	289
Add. 14,559	2#468-269	DLXXXV	585	Approx. 6c	290
Add. 14,560	2#467	DLXXXIV	584	Approx. 6c	291
Add. 14,561	2#469	DLXXXVI	586	Approx. 6c-7c	292
Add. 14,562	2#470-471	DLXXXVIII	588	Approx. 7c-8c	293
Add. 14,563	2#471	DLXXXIX	589	Approx. 7c-8c	294
Add. 14,564	2#473-474	DXCI	591	Approx. 6c-7c	295
Add. 14,565	2#475-476	DXCIII	593	Approx. 6c-7c	296
(Add. 14,566)					297
Add. 14,566, foll. 1-28	2#476	DXCIV	594	Approx. 6c	298
Add. 14,566, foll. 29-112	2#476-477	DXCV	595	Approx. 6c-7c	299
Add. 14,567	2#478-479	DXCVII	597	Approx. 6c	300
Add. 14,568	2#405-406	DXXXI	531	599	301
Add. 14,569	2#406	DXXXII	532	Approx. 8c	302
Add. 14,570	2#406-407	DXXXIII	533	Approx. 5c-6c	303
Add. 14,571	2#410-413	DXXXIX	539	519	304
Add. 14,572	2#41	DXXXVIII	538	Approx. 6c	305
Add. 14,573	2#413-414	DXL	540	Approx. 6c	306
(Add. 14,574)					307
Add. 14,574, foll. 1-19	2#407-408	DXXXV	535	Approx. 6c	308
Add. 14,574, foll. 20-33	2#408-409	DXXXVI	536	Approx. 5c-6c	309
Add. 14,574, foll. 34-40	2#508-509	DCXL	640	Approx. 6c-7c	310
Add. 14,575	2#461-462	DLXXVI	576	Approx. 7c	311
Add. 14,576	2#462-464	DLXXVII	577	Approx. 8c	312
Add. 14,577	2#784-788	DCCXCIII	793	Approx. 9c	313
Add. 14,578	2#445-449	DLXVII	567	Approx. 6c-7c	314
Add. 14,579	2#815-818	DCCCVIII	808	913	315
Add. 14,580	2#767-769	DCCLXXXIII	783	866	316
Add. 14,581	2#655-657	DCCXXXIV	734	Approx. 6c	317
Add. 14,582	2#692-696	DCCLII	752	816	318
Add. 14,583	3#1076-1078	DCCCCXXIX	929	Approx. 11c	319
Add. 14,584	2#506-507	DCXXXVIII	638	Approx. 6c-7c	320
Add. 14,585	2#502-503	DCXXXI	631	Approx. 7c	321
Add. 14,586	2#503	DCXXXIII	633	Approx. 7c-8c	322
Add. 14,587	2#517-524	DCLXXII	672	603	323
Add. 14,588	2#806-807	DCCCIII	803	Approx. 9c-10c	324
Add. 14,589	2#858-859	DCCCXXX	830	Approx. 11c-12c	325
Add. 14,590	2#752-754	DCCLXXVII	777	Approx. 8c-9c	326
Add. 14,591	2#669-673	DCCXL	740	Approx. 6c	327
Add. 14,592	2#684-690	DCCXLVIII	748	Approx. 6c-7c	328
Add. 14,593	2#590-591	DCCIV	704	817	329
Add. 14,594	2#618-620	DCCXIX	719	Approx. 9c-10c	330
Add. 14,595	2#530-531	DCLXXVIII	678	Approx. 6c-7c	331
Add. 14,596	2#531-532	DCLXXX	680	Approx. 6c-7c	332
Add. 14,597	2#648-651	DCCXXX	730	569	333
Add. 14,598	2#731-732	DCCLXIV	764	Approx. 7c, 9c	334
Add. 14,599	2#546-548	DCLXXXVI	686	569	335
Add. 14,600	2#565-569	DCXCIII	693	Approx. 8c	336
Add. 14,601	2#789-793	DCCXCV	795	Approx. 9c	337
Add. 14,602	2#701-715	DCCLIV	754	Approx. 6c-7c	338
Add. 14,603	2#586-587	DCC	700	Approx. 7c	339
Add. 14,604	2#724-726	DCCLXI	761	Approx. 7c	340
Add. 14,605	2#715-717	DCCLV	755	653	341
(Add. 14,606)	2#744-745	DCCLXXII	772	Approx. 8c	342
Add. 14,607	2#683-684	DCCXLVII	747	Approx. 6c-7c	343
(Add. 14,608)					344
Add. 14,608, foll. 1-97	2#733-734	DCCLXVI	766	Approx. 7c-8c	345
Add. 14,608, foll. 98-124	2#723-724	DCCLX	760	Approx. 7c	346
Add. 14,609	3#1088-1090	DCCCCXLI	941	Approx. 6c (587)	347
Add. 14,610	2#638-639	DCCXXVIII	728	Approx. 6c (551)	348
Add. 14,611	2#824-827	DCCCXIII	813	Approx. 10c	349
Add. 14,612	2#696-701	DCCLIII	753	Approx. 6c-7c	350
Add. 14,613	2#810-815	DCCCVI	806	Approx. 9c-10c	351
(Add. 14,614)					352
Add. 14,614, foll. 1-79	2#832-833	DCCCXVII	817	Approx. 10c	353
Add. 14,614, foll. 80-127	2#745-746	DCCLXXIII	773	Approx. 8c	354
Add. 14,615	2#840-842	DCCCXXIV	824	Approx. 10c-11c	355
Add. 14,616	2#678-680	DCCXLIV	744	Approx. 6c-7c	356
Add. 14,617	2#740-742	DCCLXX	770	Approx. 7c-8c	357
Add. 14,618	2#736-738	DCCLXVIII	768	Approx. 7c-8c	358
Add. 14,619	2#401-403	DXXVIII	528	Approx. 6c	359
Add. 14,620	2#800-803	DCCC	800	Approx. 9c	360
Add. 14,621	2#756-759	DCCLXXIX	779	802	361
Add. 14,622	3#1150-1151	DCCCCLXXVIII	978	Approx. 9c	362
Add. 14,623	2#762-766	DCCLXXXI	781	823	363
Add. 14,624	2#781-782	DCCXCI	791	Approx. 9c	364
Add. 14,625	2#532	DCLXXXI	681	Approx. 10c	365
Add. 14,626	3#1087-1088	DCCCCXL	940	Approx. 6c	366
Add. 14,627	2#415	DXLII	542	Approx. 6c-7c	367
(Add. 14,628)					368
Add. 14,628, foll. 1-8	2#1021-1022	DCCCLXXVI	876	Approx. 11c	369
Add. 14,628, foll. 9-20	2#532-533	DCLXXXII	682	Approx. 6c-7c	370
(Add. 14,629)					371
Add. 14,629, foll. 1-24	2#754-756	DCCLXXVIII	778	Approx. 8c-9c	372
Add. 14,629, foll. 25-31	3#1111	DCCCCLI	951	Approx. 9c	373
(Add. 14,630)					374
Add. 14,630, foll. 1-27	2#818-819	DCCCX	810	Approx. 10c	375
Add. 14,630, fol. 28	2#512	DCXLVIII	648	Approx. 7c	376
Add. 14,630, foll. 29-41	2#481	DCIII	603	Approx. 9c	377
(Add. 14,631)					378
Add. 14,631, foll. 1-16	3#1149	DCCCCLXXII	972	Approx. 10c	379
Add. 14,631, foll. 17-44	3#108	DCCCCXXXIII	933	Approx. 9c-10c	380
Add. 14,631, foll. 45-53	2#815	DCCCVII	807	Approx. 9c-10c	381
Add. 14,632	2#576-581	DCXCV	695	Approx. 10c	382
Add. 14,633	2#569-576	DCXCIV	694	Approx. 10c	383
(Add. 14,634)					384
Add. 14,634, foll. 1, 2	2#515	DCLVIII	658	Approx. 9c-10c	385
Add. 14,634, foll. 3-49	2#514-515	DCLVI	656	Approx. 9c	386
Add. 14,634, foll. 50, 51	2#513	DCLIII	653	Approx. 8c-9c	387
Add. 14,634, foll. 52-57	2#422-423	DLIV	554	Approx. 9c	388
(Add. 14,635)					389
Add. 14,635, foll. 1-4	2#445	DLXV	565	Approx. 6c	390
