Label,Syriaca_Headword,See_Also,Syriaca_URI,Map_1,Map_2,Map_3,Map_4,Map_5,Map_6,Map_7,Map_8,Map_9,Map_10,Map_11,Map_12,Map_13,Map_14,Maps_CitedRange,Index_CitedRange
Champa,Champa,,syriaca.org/place/4351,,,,,,,,,,,11,,,,11,826
Chang Jiang River,Chang Jiang River,Yangtze River,syriaca.org/place/4545,,,,,,,,,,,11,,,,11,826
Chang’an,Chang’an,Xi’an,syriaca.org/place/479,,,,,,,,,,,11,,,,11,826
Chendamangalam,Chendamangalam,Chennamangalam,syriaca.org/place/4504,,,,,,,,,,,,,13,,13,826
Chengdu,Chengdu,,syriaca.org/place/4352,,,,,,,,,,,11,,,,11,826
Chennai,Chennai,"Madras, Mylapore, Parangi Malai",syriaca.org/place/1960,,,,,,,,,,,11,12,,,"11, 12",826
Chennamangalam,Chennamangalam,Chendamangalam,syriaca.org/place/4504,,,,,,,,,,,,,13,,13,826
Chifeng,Chifeng,,syriaca.org/place/4353,,,,,,,,,,,11,,,,11,826
China,China,,syriaca.org/place/472,,,,,,,,,,,11,,,,11,826
Chu River,Chu River,,syriaca.org/place/4286,,,,,,,,,,10,11,,,,"10, 11",826
Cilicia,Cilicia,,syriaca.org/place/55,1,,3,,,,,,,,,,,,"1, 3",826
Circesium,Circesium,"Qarqisiyaʾ, Qarqisyun",syriaca.org/place/62,1,,,,,,7,,,,,,,,"1, 7",826
Cizre,Cizre,Gazarta,syriaca.org/place/88,,2,,,,,,,,,,,,14,"2, 14",826
Cochi,Cochi,Kochi ,syriaca.org/place/507,,,,,,,,,,,,12,13,,"12, 13",826
Commagene,Commagene,,syriaca.org/place/4015,1,,,,,,7,,,,,,,,"1, 7",826
Constantia,Constantia,Salamis,syriaca.org/place/4047,1,,,,,,,,,,,,,,1,826
Constantina,Constantina,Tella,syriaca.org/place/200,1,,,,,,7,,,,,,,,"1, 7",826
Coromandel Coast,Coromandel Coast,,syriaca.org/place/4429,,,,,,,,,,,,12,,,12,826
Cranganore,Cranganore,Kodungallur,syriaca.org/place/4430,,,,,,,,,,,,12,,,12,826
Ctesiphon,Ctesiphon,,syriaca.org/place/58,1,,,,,,,8,9,,,,,,"1, 8, 9",826
Cudi Daği,Cudi Daği,,syriaca.org/place/637,,,,,,,,,,,,,,14,14,826
Cyprus,Cyprus,,syriaca.org/place/714,1,2,3,,,,,,,,,,,,"1, 2, 3",826
Cyrrhestica,Cyrrhestica,,syriaca.org/place/4103,,,3,,,,,,,,,,,,3,826
Cyrrhus,Cyrrhus,Qurus,syriaca.org/place/65,1,,3,,,,,,,,,,,,"1, 3",826
Dailam,Dailam,,syriaca.org/place/4239,1,2,,,,,,,9,,,,,,"1, 2, 9",826
Damascus,Damascus,,syriaca.org/place/66,1,2,,4,5,,,,,,,,,,"1, 2, 4, 5",826
Damietta,Damietta,,syriaca.org/place/4127,,,,,5,,,,,,,,,,5,826
Daquqa,Daquqa,,syriaca.org/place/812,,2,,,,,7,8,,,,,,,"2, 7, 8",826
Dara,Dara,,syriaca.org/place/67,1,,,,,,7,,,,,,,14,"1, 7, 14",826
